CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'a') 1538
CRITICAL:root:('d', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'b') 1559
CRITICAL:root:('d', 'b', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'b', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'b', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'a') 1291
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'b') 1291
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'c') 1291
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'd') 1291
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'e') 1291
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'a') 1383
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'b') 1404
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'b', 'a') 1404
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'b', 'b') 1425
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'a') 1559
CRITICAL:root:('d', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'b') 1580
CRITICAL:root:('d', 'e', 'a', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'e', 'a', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'e', 'a', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'a', 'c', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'a', 'c', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'a', 'a') 1309
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'a', 'b') 1309
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'a', 'c') 1309
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'a', 'd') 1309
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'a', 'e') 1309
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'a', 'd', 'c', 'e', 'd', 'c', 'e', 'b') 1559
CRITICAL:root:('d', 'e', 'b', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'b', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'b', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'a') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'b') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'c') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'd') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'b', 'a', 'e') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'b', 'b') 1425
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'e', 'a') 1559
CRITICAL:root:('d', 'e', 'b', 'd', 'c', 'e', 'd', 'c', 'e', 'b') 1580
CRITICAL:root:('d', 'e', 'b', 'd', 'e', 'c', 'd', 'b', 'a', 'a') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'e', 'c', 'd', 'b', 'a', 'b') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'e', 'c', 'd', 'b', 'a', 'c') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'e', 'c', 'd', 'b', 'a', 'd') 1291
CRITICAL:root:('d', 'e', 'b', 'd', 'e', 'c', 'd', 'b', 'a', 'e') 1291
CRITICAL:root:('d', 'e', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'e', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'e', 'c', 'a', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'a', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'a', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'b', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'b', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'b', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'a', 'a') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'a', 'b') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'a', 'c') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'a', 'd') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'a', 'e') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'a', 'e', 'd', 'c', 'e', 'b') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'b', 'a', 'a') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'b', 'a', 'b') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'b', 'a', 'c') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'b', 'a', 'd') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'b', 'a', 'e') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'b', 'b') 1425
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'e', 'a') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'b', 'e', 'd', 'c', 'e', 'b') 1580
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'a', 'a') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'a', 'b') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'a', 'c') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'a', 'd') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'a', 'e') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'a', 'd', 'c', 'e', 'b') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'a', 'a') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'a', 'b') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'a', 'c') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'a', 'd') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'a', 'e') 1291
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'b', 'b') 1425
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'e', 'a') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'b', 'd', 'c', 'e', 'b') 1580
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'a', 'a') 1362
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'a', 'b') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'c', 'a') 1422
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'a') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'b') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'c') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'd') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'e') 1309
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'b', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'c', 'a') 1422
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'c', 'b') 1443
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'e', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'e', 'b') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a', 'a') 1383
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'a', 'b') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'b', 'a') 1404
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'b', 'b') 1425
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'c', 'a') 1443
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'c', 'b') 1464
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'e', 'a') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'b', 'e', 'b') 1580
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'a', 'a') 1538
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'a', 'b') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'b', 'a') 1559
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'b', 'b') 1580
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'c', 'a') 1598
CRITICAL:root:('d', 'e', 'c', 'd', 'e', 'c', 'd', 'e', 'c', 'b') 1619
CRITICAL:root:('e', 'd', 'a', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('e', 'd', 'a', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('e', 'd', 'a', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('e', 'd', 'a', 'c', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('e', 'd', 'a', 'c', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('e', 'd', 'b', 'c', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('e', 'd', 'b', 'c', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('e', 'd', 'b', 'c', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('e', 'd', 'c', 'b', 'd', 'e', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'b', 'd', 'e', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'b', 'd', 'e', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'a', 'c', 'd', 'a', 'a') 1362
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'a', 'c', 'd', 'a', 'b') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'a', 'c', 'd', 'b', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'a', 'c', 'd', 'b', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'a', 'c', 'd', 'e', 'a') 1538
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'b', 'c', 'd', 'a', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'b', 'c', 'd', 'a', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'b', 'c', 'd', 'b', 'a') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'a', 'a') 1362
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'a', 'b') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'b', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'b', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'c', 'a') 1422
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'e', 'a') 1538
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'b', 'd', 'a', 'a') 1383
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'b', 'd', 'a', 'b') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'b', 'd', 'b', 'a') 1404
CRITICAL:root:('e', 'd', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'a') 1538
CRITICAL:root:('a', 'a', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'a', 'e', 'c', 'd', 'e', 'c', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'a', 'e', 'd', 'c', 'e', 'd', 'c', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'b', 'e', 'd', 'c', 'e', 'd', 'c', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'c', 'a', 'e', 'd', 'c', 'e', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'a', 'd', 'c', 'e', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'a', 'd', 'e', 'c', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'c', 'e', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'e', 'c', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'e', 'd', 'c', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'e', 'd', 'c', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'e', 'd', 'c', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'c', 'e', 'd', 'a', 'e', 'd', 'c', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'c', 'e', 'd', 'b', 'e', 'd', 'c', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'a', 'e', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'a', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'd', 'a', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'c', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'a', 'c', 'e', 'd', 'c', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'd', 'e', 'a', 'c', 'e', 'd', 'c', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'a', 'c', 'e', 'd', 'c', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'a', 'c', 'e', 'd', 'c', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'b', 'c', 'e', 'd', 'c', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'a', 'e', 'c', 'd', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'd', 'e', 'c', 'a', 'e', 'd', 'c', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'd', 'e', 'c', 'a', 'e', 'd', 'c', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'c', 'a', 'e', 'd', 'c', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'a', 'e', 'd', 'c', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'b', 'e', 'd', 'c', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'a', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'a', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'b', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'a', 'c', 'd', 'b', 'b') 1457
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'b', 'c', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'a', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'a', 'b') 1457
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'b', 'a') 1457
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'b', 'c', 'd', 'b', 'b') 1478
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'a', 'a', 'a') 1295
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'a', 'd', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'a', 'd', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'b', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'a', 'a') 1415
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'a', 'b') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'b', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'b', 'b') 1457
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'c', 'a') 1475
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'a', 'd', 'c', 'b') 1496
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'b', 'a', 'd', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'a', 'a') 1436
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'a', 'b') 1457
CRITICAL:root:('a', 'd', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'b', 'a') 1457
